instance,algorithme,repetition,temps_cpu,temps_reel,longueur,optimal,ecart_pct
burma14,nn,1,0.000033,0.001409,4048,3323,21.82
burma14,nn,2,0.000021,0.000774,4048,3323,21.82
burma14,nn,3,0.000015,0.000716,4048,3323,21.82
burma14,nn,4,0.000015,0.000761,4048,3323,21.82
burma14,nn,5,0.000016,0.000726,4048,3323,21.82
burma14,nn,6,0.000020,0.000721,4048,3323,21.82
burma14,nn,7,0.000018,0.000712,4048,3323,21.82
burma14,nn,8,0.000020,0.000735,4048,3323,21.82
burma14,nn,9,0.000019,0.000720,4048,3323,21.82
burma14,nn,10,0.000015,0.000793,4048,3323,21.82
burma14,rw,1,0.000014,0.000709,6617,3323,99.13
burma14,rw,2,0.000017,0.000718,6617,3323,99.13
burma14,rw,3,0.000012,0.000759,6617,3323,99.13
burma14,rw,4,0.000017,0.000737,6617,3323,99.13
burma14,rw,5,0.000016,0.000732,6617,3323,99.13
burma14,rw,6,0.000017,0.000735,6617,3323,99.13
burma14,rw,7,0.000017,0.000726,6617,3323,99.13
burma14,rw,8,0.000020,0.000811,6617,3323,99.13
burma14,rw,9,0.000017,0.000765,6617,3323,99.13
burma14,rw,10,0.000023,0.000874,6617,3323,99.13
burma14,2optnn,1,0.000088,0.000820,4040,3323,21.58
burma14,2optnn,2,0.000099,0.000904,4040,3323,21.58
burma14,2optnn,3,0.000121,0.000966,4040,3323,21.58
burma14,2optnn,4,0.000089,0.000865,4040,3323,21.58
burma14,2optnn,5,0.000089,0.000804,4040,3323,21.58
burma14,2optnn,6,0.000089,0.000802,4040,3323,21.58
burma14,2optnn,7,0.000105,0.000940,4040,3323,21.58
burma14,2optnn,8,0.000098,0.001021,4040,3323,21.58
burma14,2optnn,9,0.000088,0.000850,4040,3323,21.58
burma14,2optnn,10,0.000119,0.001029,4040,3323,21.58
burma14,2optrw,1,0.000060,0.000786,4030,3323,21.28
burma14,2optrw,2,0.000061,0.000800,4030,3323,21.28
burma14,2optrw,3,0.000063,0.000904,4030,3323,21.28
burma14,2optrw,4,0.000060,0.000789,4030,3323,21.28
burma14,2optrw,5,0.000061,0.000793,4030,3323,21.28
burma14,2optrw,6,0.000073,0.000955,4030,3323,21.28
burma14,2optrw,7,0.000086,0.001012,4030,3323,21.28
burma14,2optrw,8,0.000088,0.000971,4030,3323,21.28
burma14,2optrw,9,0.000063,0.000792,4030,3323,21.28
burma14,2optrw,10,0.000060,0.001170,4030,3323,21.28
burma14,ga,1,24.251602,24.250197,3323,3323,0.00
burma14,ga,2,24.155481,24.154087,3323,3323,0.00
burma14,ga,3,23.726029,23.724618,3323,3323,0.00
burma14,ga,4,24.063763,24.062685,3336,3323,0.39
burma14,ga,5,23.724909,23.723772,3323,3323,0.00
burma14,ga,6,23.791853,23.790566,3323,3323,0.00
burma14,ga,7,23.712633,23.711223,3323,3323,0.00
burma14,ga,8,23.696339,23.694942,3323,3323,0.00
burma14,ga,9,23.716368,23.714992,3323,3323,0.00
burma14,ga,10,23.912126,23.910918,3323,3323,0.00
burma14,gadpx,1,24.618879,24.621057,3323,3323,0.00
burma14,gadpx,2,24.370871,24.369737,3336,3323,0.39
burma14,gadpx,3,23.663161,23.661867,3323,3323,0.00
burma14,gadpx,4,23.695640,23.694137,3323,3323,0.00
burma14,gadpx,5,24.850133,24.848839,3323,3323,0.00
burma14,gadpx,6,24.141747,24.140598,3323,3323,0.00
burma14,gadpx,7,23.776852,23.775566,3323,3323,0.00
burma14,gadpx,8,23.792959,23.791521,3323,3323,0.00
burma14,gadpx,9,23.857656,23.856517,3323,3323,0.00
burma14,gadpx,10,24.020571,24.019140,3323,3323,0.00
att48,nn,1,0.000115,0.001080,12861,10628,21.01
att48,nn,2,0.000054,0.000888,12861,10628,21.01
att48,nn,3,0.000067,0.000918,12861,10628,21.01
att48,nn,4,0.000068,0.000860,12861,10628,21.01
att48,nn,5,0.000069,0.000909,12861,10628,21.01
att48,nn,6,0.000055,0.000758,12861,10628,21.01
att48,nn,7,0.000055,0.000763,12861,10628,21.01
att48,nn,8,0.000054,0.000746,12861,10628,21.01
att48,nn,9,0.000055,0.000721,12861,10628,21.01
att48,nn,10,0.000054,0.000695,12861,10628,21.01
att48,rw,1,0.000016,0.000662,50923,10628,379.14
att48,rw,2,0.000015,0.000671,50923,10628,379.14
att48,rw,3,0.000015,0.000683,50923,10628,379.14
att48,rw,4,0.000018,0.000770,50923,10628,379.14
att48,rw,5,0.000018,0.000773,50923,10628,379.14
att48,rw,6,0.000015,0.000648,50923,10628,379.14
att48,rw,7,0.000018,0.000902,50923,10628,379.14
att48,rw,8,0.000015,0.000726,50923,10628,379.14
att48,rw,9,0.000016,0.000731,50923,10628,379.14
att48,rw,10,0.000015,0.000654,50923,10628,379.14
att48,2optnn,1,0.003296,0.004030,12950,10628,21.85
att48,2optnn,2,0.003237,0.004025,12950,10628,21.85
att48,2optnn,3,0.003495,0.004463,12950,10628,21.85
att48,2optnn,4,0.003556,0.004674,12950,10628,21.85
att48,2optnn,5,0.003343,0.004469,12950,10628,21.85
att48,2optnn,6,0.003764,0.004853,12950,10628,21.85
att48,2optnn,7,0.003861,0.004872,12950,10628,21.85
att48,2optnn,8,0.003493,0.004504,12950,10628,21.85
att48,2optnn,9,0.003389,0.004244,12950,10628,21.85
att48,2optnn,10,0.003371,0.004245,12950,10628,21.85
att48,2optrw,1,0.007282,0.008193,13101,10628,23.27
att48,2optrw,2,0.007822,0.008794,13101,10628,23.27
att48,2optrw,3,0.007407,0.008430,13101,10628,23.27
att48,2optrw,4,0.007694,0.008808,13101,10628,23.27
att48,2optrw,5,0.007027,0.008116,13101,10628,23.27
att48,2optrw,6,0.007334,0.008395,13101,10628,23.27
att48,2optrw,7,0.007571,0.008642,13101,10628,23.27
att48,2optrw,8,0.007275,0.008289,13101,10628,23.27
att48,2optrw,9,0.007123,0.008211,13101,10628,23.27
att48,2optrw,10,0.007645,0.008656,13101,10628,23.27
att48,ga,1,24.685263,24.684703,12204,10628,14.83
att48,ga,2,24.177158,24.176708,13682,10628,28.74
att48,ga,3,24.222658,24.222034,13450,10628,26.55
att48,ga,4,24.366569,24.365653,12095,10628,13.80
att48,ga,5,24.335806,24.335206,14169,10628,33.32
att48,ga,6,24.396875,24.396443,12851,10628,20.92
att48,ga,7,24.387568,24.386998,13534,10628,27.34
att48,ga,8,24.574992,24.574857,12135,10628,14.18
att48,ga,9,24.511409,24.511693,13259,10628,24.76
att48,ga,10,24.668150,24.668349,14385,10628,35.35
att48,gadpx,1,25.420413,25.420280,16246,10628,52.86
att48,gadpx,2,24.632533,24.632490,14329,10628,34.82
att48,gadpx,3,24.080636,24.080907,14375,10628,35.26
att48,gadpx,4,23.991016,23.991363,14696,10628,38.28
att48,gadpx,5,24.248168,24.248457,13519,10628,27.20
att48,gadpx,6,24.523693,24.523800,13386,10628,25.95
att48,gadpx,7,24.300701,24.300810,13329,10628,25.41
att48,gadpx,8,24.353194,24.353040,13985,10628,31.59
att48,gadpx,9,24.261163,24.261177,13059,10628,22.87
att48,gadpx,10,25.113842,25.113585,14185,10628,33.47
berlin52,nn,1,0.000062,0.000951,8980,7542,19.07
berlin52,nn,2,0.000063,0.000754,8980,7542,19.07
berlin52,nn,3,0.000062,0.001120,8980,7542,19.07
berlin52,nn,4,0.000077,0.000944,8980,7542,19.07
berlin52,nn,5,0.000079,0.000836,8980,7542,19.07
berlin52,nn,6,0.000078,0.000846,8980,7542,19.07
berlin52,nn,7,0.000078,0.000941,8980,7542,19.07
berlin52,nn,8,0.000068,0.000859,8980,7542,19.07
berlin52,nn,9,0.000077,0.000863,8980,7542,19.07
berlin52,nn,10,0.000078,0.000857,8980,7542,19.07
berlin52,rw,1,0.000019,0.000765,30127,7542,299.46
berlin52,rw,2,0.000018,0.000696,30127,7542,299.46
berlin52,rw,3,0.000015,0.000707,30127,7542,299.46
berlin52,rw,4,0.000018,0.000775,30127,7542,299.46
berlin52,rw,5,0.000014,0.000687,30127,7542,299.46
berlin52,rw,6,0.000017,0.000796,30127,7542,299.46
berlin52,rw,7,0.000021,0.000831,30127,7542,299.46
berlin52,rw,8,0.000014,0.000694,30127,7542,299.46
berlin52,rw,9,0.000014,0.000712,30127,7542,299.46
berlin52,rw,10,0.000015,0.000834,30127,7542,299.46
berlin52,2optnn,1,0.107269,0.108183,8691,7542,15.23
berlin52,2optnn,2,0.108626,0.109763,8691,7542,15.23
berlin52,2optnn,3,0.108129,0.109235,8691,7542,15.23
berlin52,2optnn,4,0.107730,0.108967,8691,7542,15.23
